id,title,authors,date,source_name,category,type,area,url,summary,breadth_score,significance_score,tags,notes,retrieved_at
5b4c3fb9969a3c3f,"Asymptotic spectra: Theory, applications, and extensions","Avi Wigderson, Jeroen Zuiddam",2026-02-18,Bulletin of the AMS (New Series),A,survey,топология,https://doi.org/10.1090/bull/1880,,5,3,"cross-field,expository,type:survey",,2026-07-10T04:39:49
3338182eaf2f670e,"Symplectic tiling billiards, planar linkages, and hyperbolic geometry",Richard Schwartz,2025-10-15,Bulletin of the AMS (New Series),A,survey,дифференциальная геометрия,https://doi.org/10.1090/bull/1877,,5,3,"cross-field,expository,type:survey",,2026-07-10T04:39:49
d70a91e513aabd6c,Hölder regularity of stable solutions to elliptic equations up to ℝ⁹: Full quantitative proofs,Xavier Cabré,2025-10-15,Bulletin of the AMS (New Series),A,survey,уравнения в частных производных,https://doi.org/10.1090/bull/1873,,4,3,"expository,type:survey",,2026-07-10T04:39:49
5e7abb5ec1fc32a6,Survey on the Farrell–Jones conjecture,Wolfgang Lück,2025-10-15,Bulletin of the AMS (New Series),A,survey,,https://doi.org/10.1090/bull/1876,,5,4,"expository,high-signif,legible,type:survey",,2026-07-10T04:39:49
75785b5e668bb445,Problems on infinite sumset configurations in the integers and beyond,"Bryna Kra, Joel Moreira, Florian Richter, et al.",2025-08-13,Bulletin of the AMS (New Series),A,survey,теория чисел,https://doi.org/10.1090/bull/1868,,4,3,"expository,type:survey",,2026-07-10T04:39:49
78676d37cc7a4a4b,Isoperimetric inequalities in high-dimensional convex sets,"Boaz Klartag, Joseph Lehec",2025-08-13,Bulletin of the AMS (New Series),A,survey,геометрия,https://doi.org/10.1090/bull/1869,,4,3,"expository,type:survey",,2026-07-10T04:39:49
bfe569448a3c0aaa,Embracing AI and formalization: Experimenting with tomorrow’s mathematical tools,Jarod Alper,2025-12-19,Bulletin of the AMS (New Series),A,survey,логика,https://doi.org/10.1090/bull/1879,,4,3,"expository,type:survey",,2026-07-10T04:39:49
3314612ab0f666fd,Luna’s Slice Theorem and applications,"Michel Brion, Hanspeter Kraft, Gerald Schwarz",2025-08-13,Bulletin of the AMS (New Series),A,survey,алгебраическая геометрия,https://doi.org/10.1090/bull/1872,,4,3,"expository,type:survey",,2026-07-10T04:39:49
b4705653e5f487a7,Apollonian packings: The rise and fall of the local to global conjecture,Elena Fuchs,2025-10-15,Bulletin of the AMS (New Series),A,survey,геометрия,https://doi.org/10.1090/bull/1874,,4,4,"expository,high-signif,type:survey",,2026-07-10T04:39:49
b03cef813b8669b3,Making Mathematical Online Resources FAIR: At the Example of Small Phylogenetic Trees,"Tabea Bacher, Marina Garrote-López, Christiane Görgen, et al.",2026-05,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3332,,4,3,"expository,type:expository",,2026-07-10T04:39:49
011aab641d293577,Mathematics People,,2026-05,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3342,,4,3,"expository,type:expository",,2026-07-10T04:39:49
cabda237de921364,"Remembering Elbert Frank Cox, PhD (1925), a Century Later, “The First Black Person to Earn a PhD in Mathematics”",Johnny Houston,2025-12,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3283,,4,4,"expository,high-signif,type:expository",,2026-07-10T04:39:49
d590325306d45a68,My Journey into Math Journalism,Emma Hasson,2026-01,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3287,,4,3,"expository,type:expository",,2026-07-10T04:39:49
2e34dec3bf249404,The Tree Property,Dima Sinapova,2025-11,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3268,,4,3,"expository,type:expository",,2026-07-10T04:39:49
7f2702d01036b13f,Bernard Maskit Memorial Tribute,"James Anderson, Ara Basmajian, Ruben Hidalgo, et al.",2025-08,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3202,,4,3,"expository,type:expository",,2026-07-10T04:39:49
8319f043687dda3a,Recruiting and Retaining Successful Doctoral Students from Underrepresented Groups: Five Unhelpful Narratives and One Helpful One,"Sarah Sword, Carl Westine, Michael Young",2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3296,,4,3,"expository,type:expository",,2026-07-10T04:39:49
d173135d2f9015a7,Mathematics People,,2025-10,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3255,,4,3,"expository,type:expository",,2026-07-10T04:39:49
369345b51cf1e115,"Making Grants, Policy, and Mathematics: An Interview with Daniel Goroff","Daniel Goroff, Mark Wilson",2025-10,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3245,,4,3,"expository,type:expository",,2026-07-10T04:39:49
e955978234706587,Bookshelf,Emily Olson,2026-04,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3321,,4,3,"expository,type:expository",,2026-07-10T04:39:49
6f5331367de857bb,Bookshelf,Emily Olson,2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3301,,4,3,"expository,type:expository",,2026-07-10T04:39:49
fcac509f6ed35fb1,What is... Phylogenetics?,"Simone Linz, Kristina Wicke",2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3299,,5,3,"expository,legible,type:expository",,2026-07-10T04:39:49
30b6be00049ff70c,Remembering Joe Auslander (1930–2025),"Ethan Akin, Mike Boyle, Ken Berg, et al.",2025-12,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3252,,4,3,"expository,type:expository",,2026-07-10T04:39:49
bd3c33162b3b46b0,The Four-Color Theorem 1852–1976,Robin Wilson,2026-03,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3305,,4,3,"expository,type:expository",,2026-07-10T04:39:49
a262e1f8fa997ddf,Grants Empower Travel to MCA 2025,Elaine Beebe,2025-12,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3277,,4,3,"expository,type:expository",,2026-07-10T04:39:49
1294695305235877,Hilbert’s Tenth Problem for Finitely Generated Rings,"Peter Koymans, Carlo Pagano",2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3339,,4,3,"expository,type:expository",,2026-07-10T04:39:49
61965112986056fc,Math for a Better Future,Ashwin Iyengar,2026-01,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3292,,4,3,"expository,type:expository",,2026-07-10T04:39:49
4b63c5b4cc6e50e7,The Geometry of Maximal Globally Hyperbolic Developments for 3𝐷 Compressible Fluids Terminating in Shocks,"Leonardo Abbrescia, Jared Speck",2026-03,Notices of the AMS,A,expository,уравнения в частных производных,https://doi.org/10.1090/noti3313,,5,3,"cross-field,expository,type:expository",,2026-07-10T04:39:49
