svyazka	kniga	chelovek	nejroset	wiki
отсюда	39.6	35.5	41.1	5.2
значит	137.3	122.6	145.9	27.0
положим	74.6	2.3	10.8	5.4
тем самым	25.6	5.7	2.4	4.3
в самом деле	26.0	20.1	0.6	0.7
следовательно	311.1	85.4	45.4	57.5
является	270.0	66.5	38.9	199.4
данный	10.8	4.6	7.3	13.2
представляет собой	21.6	5.7	0.4	11.3
осуществляется	2.1	2.9	0.1	2.8
в силу	48.9	1.7	0.8	3.2
поэтому	170.9	137.0	78.0	25.4
так что	57.9	172.5	10.5	11.6
получается	45.3	83.7	21.2	7.6
сводится к	10.3	6.3	3.9	3.2
хватает	2.2	6.9	9.5	0.4
таким образом	103.5	16.0	2.1	37.0
при этом	72.0	32.7	16.5	31.0
иными словами	13.3	0.0	0.2	2.7
другими словами	16.0	34.4	0.6	4.9
заметим что	0.1	0.0	0.1	0.0
обратим внимание	0.8	0.0	0.0	0.1
a значит	0.1	0.0	0.0	0.0
откуда следует	3.5	0.0	0.0	0.8
