termin	predlog	padezh	chastota	logDice
год	в	Loc	21673	12.12
случай	в	Loc	9506	11.3
точка	в	Loc	3436	9.75
область	в	Loc	3400	9.94
год	с	Gen	3390	10.76
число	в	Loc	2276	8.78
пространство	в	Loc	2171	9.22
теория	в	Loc	1763	8.89
графа	в	Loc	1723	9.03
задача	в	Loc	1702	8.7
модуль	по	Dat	1685	11.09
время	в	Acc	1662	10.52
система	в	Loc	1653	8.82
число	для	Gen	1633	9.19
результат	в	Loc	1582	8.82
сила	в	Acc	1538	10.87
число	из	Gen	1527	9.08
вероятность	с	Ins	1476	10.29
смысл	в	Loc	1444	8.76
плоскость	на	Loc	1431	10.74
число	с	Ins	1422	9.03
основа	на	Loc	1416	10.8
язык	на	Loc	1407	10.56
год	по	Acc	1406	9.68
математика	по	Dat	1402	10.39
г.	в	Loc	1387	8.68
год	в	Acc	1381	9.19
конец	в	Loc	1348	8.64
работа	в	Loc	1330	8.53
время	за	Acc	1312	11.22
начало	в	Loc	1263	8.56
книга	в	Loc	1262	8.53
порядок	в	Loc	1259	8.51
часть	в	Loc	1246	8.46
рис	на	Acc	1223	10.95
момент	в	Acc	1212	10.56
вид	в	Loc	1149	8.31
вершина	из	Gen	1137	9.7
множество	на	Loc	1135	9.49
школа	в	Loc	1132	8.4
решение	для	Gen	1130	9.75
элемент	из	Gen	1091	9.68
коэффициент	с	Ins	1075	10.17
поле	над	Ins	1058	11.46
раз	в	Gen	1058	11.15
рисунок	на	Loc	1042	10.43
вопрос	на	Acc	1018	10.39
граф	для	Gen	1016	9.36
точность	с	Ins	979	10.15
математика	в	Loc	968	8.07
дело	на	Loc	966	10.17
множество	из	Gen	952	9.08
место	на	Loc	941	10.04
точка	из	Gen	940	9.17
функция	для	Gen	930	9.11
теория	по	Dat	908	9.61
число	на	Acc	905	8.51
точность	в	Loc	896	8.08
точка	с	Gen	880	9.69
пространство	на	Loc	877	9.63
шаг	на	Loc	851	9.98
условие	при	Loc	836	10.79
пример	в	Loc	826	7.88
формула	по	Dat	825	9.64
форма	в	Loc	822	7.91
век	в	Loc	820	7.95
раздел	в	Loc	791	7.91
город	в	Loc	784	7.89
множество	в	Loc	777	7.56
термин	в	Loc	776	7.88
мир	в	Loc	768	7.85
отрезок	на	Loc	763	9.88
